Language,Rank,Verb,Frequency
English,1,say,244
English,2,think,90
English,3,reply,28
English,4,begin,26
English,5,look,18
French,1,dire,26
French,2,trouver,12
French,3,commencer,6
French,4,sentir,4
French,5,avoir,4
Spanish,1,pensar,44
Spanish,2,decir,32
Spanish,3,--preguntar,28
Spanish,4,mirar,18
Spanish,5,empezar,16
Italian,1,dire,122
Italian,2,rispondere,64
Italian,3,pensare,44
Italian,4,domandare,22
Italian,5,soggiunse,16
Finnish,1,sanoa,124
Finnish,2,vastata,46
Finnish,3,kysyä,30
Finnish,4,arvella,28
Finnish,5,huudahtaa,20
